index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
05760,1953,1953-01-23,4,26.07,26.07,26.07,26.07,26.07,1340000,1,0,0,0,0,0,0,0,0,0,0,0
05761,1953,1953-01-26,0,26.02,26.02,26.02,26.02,26.02,1420000,1,0,0,0,0,0,0,0,0,0,0,0
05762,1953,1953-01-27,1,26.05,26.05,26.05,26.05,26.05,1550000,1,0,0,0,0,0,0,0,0,0,0,0
05763,1953,1953-01-28,2,26.13,26.13,26.13,26.13,26.13,1640000,1,0,0,0,0,0,0,0,0,0,0,0
05764,1953,1953-01-29,3,26.2,26.2,26.2,26.2,26.2,1830000,1,0,0,0,0,0,0,0,0,0,0,0
05765,1953,1953-01-30,4,26.38,26.38,26.38,26.38,26.38,1760000,1,0,0,0,0,0,0,0,0,0,0,0
05766,1953,1953-02-02,0,26.51,26.51,26.51,26.51,26.51,1890000,0,1,0,0,0,0,0,0,0,0,0,0
05767,1953,1953-02-03,1,26.54,26.54,26.54,26.54,26.54,1560000,0,1,0,0,0,0,0,0,0,0,0,0
05768,1953,1953-02-04,2,26.42,26.42,26.42,26.42,26.42,1660000,0,1,0,0,0,0,0,0,0,0,0,0
05769,1953,1953-02-05,3,26.15,26.15,26.15,26.15,26.15,1900000,0,1,0,0,0,0,0,0,0,0,0,0
05770,1953,1953-02-06,4,26.51,26.51,26.51,26.51,26.51,1870000,0,1,0,0,0,0,0,0,0,0,0,0
05771,1953,1953-02-09,0,25.69,25.69,25.69,25.69,25.69,1780000,0,1,0,0,0,0,0,0,0,0,0,0
05772,1953,1953-02-10,1,25.62,25.62,25.62,25.62,25.62,1350000,0,1,0,0,0,0,0,0,0,0,0,0
05773,1953,1953-02-11,2,25.64,25.64,25.64,25.64,25.64,1240000,0,1,0,0,0,0,0,0,0,0,0,0
05774,1953,1953-02-13,4,25.74,25.74,25.74,25.74,25.74,1350000,0,1,0,0,0,0,0,0,0,0,0,0
05775,1953,1953-02-16,0,25.65,25.65,25.65,25.65,25.65,1330000,0,1,0,0,0,0,0,0,0,0,0,0
05776,1953,1953-02-17,1,25.5,25.5,25.5,25.5,25.5,1290000,0,1,0,0,0,0,0,0,0,0,0,0
05777,1953,1953-02-18,2,25.48,25.48,25.48,25.48,25.48,1220000,0,1,0,0,0,0,0,0,0,0,0,0
05778,1953,1953-02-19,3,25.57,25.57,25.57,25.57,25.57,1390000,0,1,0,0,0,0,0,0,0,0,0,0
